City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Balkhash,KZ,74.41,broken clouds,46.844,74.9804,Family
4,Butaritari,KI,83.52,light rain,3.0707,172.7902,Isles Sunset Lodge
8,Tigre,AR,72.23,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
9,Komsomolskiy,UZ,74.62,few clouds,40.4272,71.7189,Ikathouse
11,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
15,Bani Walid,LY,82.63,overcast clouds,31.7566,13.9942,منزل الصابر أبوفانة
17,Hilo,US,80.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Souillac,MU,72.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Atuona,PF,78.93,few clouds,-9.8,-139.0333,Villa Enata
26,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
28,Rikitea,PF,71.89,broken clouds,-23.1203,-134.9692,Pension Maro'i
29,Fomboni,KM,78.93,clear sky,-12.28,43.7425,Pension Paradis
33,Bambous Virieux,MU,72.21,light rain,-20.3428,57.7575,Casa Tia Villa
38,West Bay,KY,84.99,scattered clouds,19.3667,-81.4167,Calypso Cove
39,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
45,Ixtapa,MX,81.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
51,Harper,LR,80.31,scattered clouds,4.375,-7.7169,Screensaver
53,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
54,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
55,Ahuimanu,US,80.78,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
60,Bengkulu,ID,77.45,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
66,Achalpur,IN,88.63,overcast clouds,21.2572,77.5086,Aashiyana Building
70,Abnub,EG,89.26,clear sky,27.2696,31.1511,Romany Adly Gad
72,Iturama,BR,84.42,overcast clouds,-19.7281,-50.1956,República DominaCana
78,Salalah,OM,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
79,Minna,NG,82.24,broken clouds,9.6139,6.5569,Royal Park hotel & suites
80,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Tanggul,ID,74.5,clear sky,-8.1645,113.4525,Padepokan HM Arum Sabil
86,Sakhipur,BD,85.87,overcast clouds,24.3,90.1833,জুনিয়র এফ.সি-ক্লাব-২
88,Bima,ID,75.92,clear sky,-8.4667,118.7167,Lambitu Hotel
89,Mahebourg,MU,72.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
91,Kapit,MY,74.48,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
94,Kavaratti,IN,83.26,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
95,Vao,NC,70.48,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
98,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
100,Hithadhoo,MV,83.16,light rain,-0.6,73.0833,Scoop Guest House
101,Tyler,US,86.43,broken clouds,32.3513,-95.3011,The Woldert-Spence Manor
103,Calabozo,VE,89.08,overcast clouds,8.9242,-67.4293,Hotel Giardini
104,Arraial Do Cabo,BR,76.86,few clouds,-22.9661,-42.0278,Pousada Porto Praia
107,Yanam,IN,87.69,broken clouds,16.7333,82.2167,The Regency Hotel
109,Kenitra,MA,74.73,overcast clouds,34.261,-6.5802,Bienvenue chez vous
110,Matozinhos,BR,84.63,few clouds,-19.5578,-44.0814,Hotel Aconchego Matozinhos
115,Damietta,EG,73.81,clear sky,31.4165,31.8133,SULIMAN INN
117,Maua,BR,78.37,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
119,Huilong,CN,73.04,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
120,Hobyo,SO,79.21,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
121,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
123,Sao Joao Da Barra,BR,78.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
126,Santa Cruz De Tenerife,ES,73.92,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
128,Hualmay,PE,71.47,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
134,Hamilton,US,83.55,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
135,Namatanai,PG,77.07,moderate rain,-3.6667,152.4333,Namatanai Hotel
136,Caravelas,BR,78.66,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
139,Padang,ID,77.38,overcast clouds,-0.9492,100.3543,Mercure Padang
140,Pemangkat,ID,79.07,scattered clouds,1.1667,108.9667,Ramah Kost KITA
142,Kavieng,PG,82.06,moderate rain,-2.5744,150.7967,Nusa Island Retreat
151,Bethel,US,81.72,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
157,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
160,Masallatah,LY,77.7,scattered clouds,32.6167,14.0,Mustafa Taher Sowaidan
161,Ternate,ID,81.12,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
162,Aksu,CN,75.33,few clouds,41.1231,80.2644,Pudong Holiday Hotel
169,Oriximina,BR,89.49,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
173,Port Blair,IN,81.5,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
180,Belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
181,Castro,BR,72.32,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
184,Kattivakkam,IN,86.07,overcast clouds,13.2167,80.3167,Raj's villa
185,Lufilufi,WS,76.78,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
186,Laguna,US,84.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
188,Porto Belo,BR,78.64,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
192,Pacific Grove,US,77.16,overcast clouds,36.6177,-121.9166,Lovers Point Inn
198,Sinnamary,GF,75.72,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
200,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
201,Faya,SA,75.72,clear sky,18.3851,42.4509,مقبرة ال مجمل
206,Puerto Lempira,HN,89.74,scattered clouds,15.2667,-83.7667,Hotel Yu baiwan
214,Carutapera,BR,83.71,few clouds,-1.195,-46.02,Lidera
215,Trincomalee,LK,82.04,clear sky,8.5711,81.2335,Welcombe Hotel
217,Alta Floresta,BR,88.02,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
218,Silver City,US,83.91,clear sky,32.7701,-108.2803,Copper Manor Motel
221,Ambilobe,MG,70.47,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
222,Carauari,BR,87.55,overcast clouds,-4.8828,-66.8958,Hotel Fellip
226,Shache,CN,73.87,clear sky,38.4167,77.2406,Delong Hotel
227,Ardmore,US,84.65,overcast clouds,34.1743,-97.1436,"Candlewood Suites Ardmore, an IHG Hotel"
229,Cap Malheureux,MU,72.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
230,Kismayo,SO,78.44,scattered clouds,-0.3582,42.5454,Agan-Hotel
232,Alofi,NU,77.77,few clouds,-19.0595,-169.9187,Taloa Heights
236,Kieta,PG,77.58,light rain,-6.2167,155.6333,Uruna Bay Retreat
238,Vila Velha,BR,80.96,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
241,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
243,Sao Filipe,CV,73.49,clear sky,14.8961,-24.4956,Hotel Xaguate
244,Kununurra,AU,73.38,clear sky,-15.7667,128.7333,Hotel Kununurra
245,Fare,PF,80.47,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
247,Malindi,KE,77.7,light rain,-3.2175,40.1191,African House Resort
249,Abha,SA,75.45,clear sky,18.2164,42.5053,Abha Hotel
251,Westport,US,84.06,clear sky,41.1415,-73.3579,The Westport Inn
255,Weligama,LK,79.32,overcast clouds,5.9667,80.4167,Weligama Bay Resort
257,Aden,YE,88.34,broken clouds,12.7794,45.0367,Sama Emirate Hotel
259,Gushikawa,JP,78.8,broken clouds,26.3544,127.8686,Kirari Guest House
260,Tual,ID,81.66,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
262,Bonito,BR,87.71,overcast clouds,-21.1211,-56.4819,Marruá Hotel
264,Acapulco,MX,89.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
269,Port Hedland,AU,75.25,light rain,-20.3167,118.5667,The Esplanade Hotel
271,Buala,SB,76.26,heavy intensity rain,-8.145,159.5921,Maringe Lagoon Lodge
272,Umm Lajj,SA,88.38,overcast clouds,25.0213,37.2685,Moon light Furnished Units
274,Banjar,ID,80.46,clear sky,-8.19,114.9675,The Hamsa Resort
275,Shihezi,CN,75.85,broken clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
277,Caborca,MX,87.49,clear sky,30.5838,-111.101,Hotel Los Lagos
278,Dossor,KZ,79.56,overcast clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
279,Ugoofaaru,MV,82.94,overcast clouds,5.6667,73.0,Ungoofaaru Inn
283,Caceres,ES,73.8,light rain,39.522,-6.3748,Ahc Hoteles
287,Nisia Floresta,BR,83.21,clear sky,-6.0911,-35.2086,Rancho Crepusculo
293,Puerto Del Rosario,ES,71.35,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
295,Isabela,PH,78.44,overcast clouds,6.7085,121.9711,Isawad Resort
296,Victoria,HK,86.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
303,Mountain Home,US,76.8,few clouds,43.133,-115.6912,Mountain Home Inn
305,Lakshmipur,BD,83.12,overcast clouds,22.95,90.8333,Khalekgonjo Sufi Rowson Ali Dakhil Madrasha
307,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
308,Soyo,AO,77.09,overcast clouds,-6.1349,12.3689,Hotel Mpampa
310,Santa Rosalia,MX,85.37,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
312,Nantucket,US,81.61,clear sky,41.2835,-70.0995,Jared Coffin House
316,Tura,IN,73.54,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
318,Tucurui,BR,88.93,clear sky,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
322,Puerto Carreno,CO,82.0,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
326,Bayeux,BR,81.23,scattered clouds,-7.125,-34.9322,Infinity Motel
329,Port-Gentil,GA,79.02,overcast clouds,-0.7193,8.7815,Fengshui Residence
330,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
333,Sumenep,ID,80.33,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
336,Jalu,LY,88.86,scattered clouds,29.0331,21.5482,صاحبة الفخامة
341,Chenghai,CN,82.31,few clouds,23.4632,116.768,Guangdong Hotel
343,San Isidro,PE,71.02,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
344,Banting,MY,77.13,overcast clouds,2.8167,101.5,Hotel Intan Jugra
345,Sandpoint,US,73.62,broken clouds,48.2766,-116.5533,La Quinta Inn by Wyndham Sandpoint
346,Alice Town,BS,77.76,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
353,Sakakah,SA,88.3,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
354,Inongo,CD,76.15,overcast clouds,-1.95,18.2667,Hotel Du Lac
356,Puerto Baquerizo Moreno,EC,81.59,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
358,Keti Bandar,PK,84.2,clear sky,24.1447,67.4497,Haji laloo memon house
360,Gafargaon,BD,85.98,overcast clouds,24.4333,90.5667,গফরগাঁও ধামাইল ঢালীবাড়ী
367,Lafiagi,NG,87.1,overcast clouds,8.8667,5.4167,Bus group international
368,Waingapu,ID,78.01,clear sky,-9.6567,120.2641,Pondok Wisata Elim
369,Miranda,CO,80.73,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
374,Kokopo,PG,76.28,moderate rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
375,Mersing,MY,77.47,scattered clouds,2.4312,103.8405,Timotel Hotel
381,Suba,PH,82.71,overcast clouds,10.8438,121.0102,Casita Bed and Grill
383,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
384,Marmaris,TR,73.11,clear sky,36.855,28.2742,Hawaii Hotel
386,Ohafia,NG,75.69,clear sky,5.6167,7.8333,Hill Flower Hotel
387,Dingle,PH,78.93,light rain,10.9995,122.6711,SEGAYA PROPERTY
388,Hami,CN,81.73,overcast clouds,42.8,93.45,Laoyutang Resort
394,Muros,ES,70.3,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
396,Faanui,PF,80.42,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
399,Braco Do Norte,BR,79.25,clear sky,-28.275,-49.1656,Costa Nobre Hotel
402,Poum,NC,71.62,overcast clouds,-20.2333,164.0167,Gîte kajeon
405,Kirakira,SB,74.82,overcast clouds,-10.4544,161.9205,SanBiz Lodge
406,Shieli,KZ,79.9,overcast clouds,44.1667,66.75,Gostinitsa Aybek Shieli
408,Dunmore Town,BS,76.95,overcast clouds,25.5,-76.65,Coral Sands Hotel
411,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
412,Sangolqui,EC,72.09,light rain,-0.3341,-78.4522,Mansion Samzara Hosteleria
416,Galesong,ID,78.82,clear sky,-5.3166,119.3661,Sapriadi Appy
417,Hutchinson,US,82.38,broken clouds,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
418,Dicabisagan,PH,79.56,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
420,Severiano Melo,BR,85.53,overcast clouds,-5.7772,-37.9578,Chácara Bela Vista
421,Angoche,MZ,70.99,broken clouds,-16.2325,39.9086,Guest House HESADA
423,Kalianget,ID,81.59,few clouds,-7.05,113.9333,Pesanggrahan Garam
425,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
427,Davila,PH,83.21,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
429,Maragogi,BR,79.48,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
432,Ninghai,CN,73.72,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
435,Cukai,MY,75.92,scattered clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
437,Paka,MY,77.56,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
438,Ergani,TR,72.32,clear sky,38.2653,39.7621,Serkan Hotel
442,Banda Aceh,ID,81.99,overcast clouds,5.5577,95.3222,Sulthan Hotel International
444,Santa Isabel,BR,79.66,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
450,Namibe,AO,73.54,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
452,Colombo,LK,84.15,overcast clouds,6.9319,79.8478,Galle Face Hotel
453,Benguela,AO,76.35,clear sky,-12.5763,13.4055,Hotel Praia Morena
454,Barranca,PE,70.97,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
457,Mayo,US,87.75,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
460,Pires Do Rio,BR,84.63,overcast clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
461,Prachin Buri,TH,76.14,overcast clouds,14.0833,101.6667,Hillside Country Home Golf & Resort
462,Samarai,PG,77.88,overcast clouds,-10.6167,150.6667,Nuli Sapi
463,Lexington,US,84.24,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
467,Toppenish,US,72.86,broken clouds,46.3774,-120.3087,Quality Inn & Suites Toppenish - Yakima Valley
468,Mercedes,AR,72.86,few clouds,-34.6515,-59.4307,Posada del Inti Centro
471,Concepcion Del Oro,MX,81.12,clear sky,24.6333,-101.4167,HOTEL HACIENDA SAN JAVIER
472,Castelo,BR,78.28,broken clouds,-20.6036,-41.1847,Pousada Lua & Sol
473,Albertville,US,81.3,clear sky,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
481,Bubaque,GW,78.96,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
487,Peniche,PT,74.68,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
492,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
495,Bandarbeyla,SO,79.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
499,Sitio Novo Do Tocantins,BR,87.89,scattered clouds,-5.5183,-47.4611,Imperial Hotel
500,Tezu,IN,74.53,overcast clouds,27.9167,96.1667,Circuit House
502,Quatre Cocos,MU,72.09,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
504,Bud,US,82.35,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
505,Marrakesh,MA,86.07,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
506,Piacabucu,BR,79.48,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
509,Bardiyah,LY,70.63,clear sky,31.7561,25.0865,بورتو بردية
519,Lompoc,US,75.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
520,Agua Dulce,MX,87.58,broken clouds,18.1333,-94.1333,Hotel Victoria
521,Jacqueville,CI,84.11,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
523,Saint-Gaudens,FR,73.13,scattered clouds,43.0833,0.6667,L'Ardiégeoise
524,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
529,Gouyave,GD,84.97,broken clouds,12.1646,-61.7296,Rumboat Retreat
531,Dawei,MM,77.86,overcast clouds,14.0833,98.2,Hotel Dawei
538,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
540,Hirara,JP,82.6,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
544,Saint-Pierre,RE,73.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
547,Lahaina,US,84.2,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
548,New Baltimore,US,71.08,broken clouds,42.6811,-82.7369,Northpointe Shores RV Resort
550,Pasighat,IN,74.05,broken clouds,28.0667,95.3333,Siang Guest House
551,Auki,SB,74.84,overcast clouds,-8.7676,160.7034,Auki Motel
552,Tazmalt,DZ,71.96,overcast clouds,36.3868,4.3989,Hôtel Numédia
556,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
558,Kloulklubed,PW,83.66,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
559,Rio Grande,BR,75.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
561,San Policarpo,PH,82.08,few clouds,12.1791,125.5072,JM Lodge
563,Sur,OM,88.34,clear sky,22.5667,59.5289,Sur Plaza Hotel
564,Muisne,EC,82.51,broken clouds,0.6,-80.0333,Quinta Samay
567,Karratha,AU,74.89,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
570,Sinjar,IQ,85.57,clear sky,36.3209,41.8754,زوماني فون 1
572,Iquitos,PE,89.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
578,Rio De Janeiro,BR,81.32,clear sky,-22.9028,-43.2075,Hotel Málaga
579,Zhuhai,CN,86.05,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
581,Honiara,SB,76.17,overcast clouds,-9.4333,159.95,Heritage Park Hotel
582,Moerai,PF,77.61,light rain,-22.4333,-151.3333,Le Manotel
583,Eyl,SO,80.31,overcast clouds,7.9803,49.8164,Amiin Hotel
585,Castelldefels,ES,72.97,clear sky,41.2779,1.9703,Gran Hotel Rey Don Jaime
586,Nueva Gerona,CU,83.55,overcast clouds,21.8833,-82.8,Villa Gerona
587,Vanimo,PG,78.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
590,Badia Polesine,IT,70.45,clear sky,45.0972,11.4916,The Ship Hotel
593,Nam Dinh,VN,80.13,overcast clouds,20.4167,106.1667,Khách sạn Dệt
595,Liku,ID,75.7,scattered clouds,-0.7275,119.8922,Kost Raisa & homestay
596,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
600,Carpinteria,US,86.13,clear sky,34.3989,-119.5185,"Holiday Inn Express & Suites Carpinteria, an IHG Hotel"
604,Sitrah,BH,89.82,clear sky,26.1547,50.6206,Al Bander Resort - منتجع البندر
605,San Jose,US,77.77,few clouds,37.3394,-121.895,The Westin San Jose
608,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
609,Mumford,GH,81.46,overcast clouds,5.2618,-0.759,Spanish Villa
610,Luganville,VU,70.59,few clouds,-15.5333,167.1667,The Espiritu Hotel
614,Lata,PT,73.72,overcast clouds,40.1629,-8.3327,Casa Maquia
615,San Juan,AR,76.73,overcast clouds,-31.5375,-68.5364,Hotel Provincial
617,Mudkhed,IN,85.57,overcast clouds,19.1667,77.5167,Shaikh Shahid's Home
624,Teixeira,BR,81.81,overcast clouds,-7.2228,-37.2542,Hotel da Serra
625,Dingtao,CN,72.93,clear sky,35.0683,115.5625,VX Heze Dingtao District Taoyi Road Hotel
626,Bloomfield,US,84.78,clear sky,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
627,Lorengau,PG,78.13,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
628,Hata,IN,74.43,heavy intensity rain,26.7461,83.7403,Dr. S. K. Gupta
630,Axim,GH,81.36,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
631,Balabac,PH,81.68,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
632,Miraflores,MX,75.96,overcast clouds,19.2167,-98.8083,Hotel Mansión
633,Ziarat,PK,70.79,overcast clouds,30.3823,67.7282,Pakiza Guest House
635,Srisailam,IN,86.43,overcast clouds,16.0833,78.8667,Vasavi Satram
637,Healdsburg,US,86.97,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
643,Oussouye,SN,81.09,clear sky,12.485,-16.5469,Auberge du Routard
644,Sandakan,MY,77.14,scattered clouds,5.8402,118.1179,Hotel Sandakan
645,Santa Cruz,BO,85.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
651,Cozumel,MX,88.0,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
664,Song Phi Nong,TH,78.96,overcast clouds,14.2241,100.0209,แฮปปี้เฮ้าส์ รีสอร์ท
665,Korla,CN,76.98,scattered clouds,41.7597,86.1469,Gulisitan Hotel
666,Grajau,BR,89.31,few clouds,-5.8194,-46.1386,Hotel Confiança
670,Veraval,IN,85.37,overcast clouds,20.9,70.3667,Lords Inn Somnath
672,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
673,Tecoanapa,MX,88.16,overcast clouds,16.5167,-98.75,Hotel Manglares
677,Changde,CN,70.21,overcast clouds,29.0464,111.6783,Kangshida Hotel
681,Morondava,MG,73.08,clear sky,-20.2833,44.2833,La Case Bambou
682,Santa Isabel Do Rio Negro,BR,86.2,scattered clouds,-0.4139,-65.0192,Hotel GSA
686,Chateaubelair,VC,82.92,few clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
688,Mizdah,LY,86.4,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
689,Arroyo,ES,75.24,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
690,Yangjiang,CN,80.06,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
691,Maumere,ID,78.82,few clouds,-8.6199,122.2111,Sylvia Hotel
